,FAC_STATE,FAC_COUNTY,County
0,AA,ALBERTA,ALBERTA
1,AA,BRITISH COLUMBIA,BRITISH COLUMBIA
2,AB,KINGS ,KINGS
3,AK,ALASKA,ALASKA
4,AK,ALEUTIAN ISLANDS,ALEUTIAN ISLANDS
5,AK,ALEUTIANS EAST,ALEUTIANS EAST
6,AK,ALEUTIANS EAST (B),ALEUTIANS EAST
7,AK,ALEUTIANS EAST BOROUGH,ALEUTIANS EAST
8,AK,ALEUTIANS WEST,ALEUTIANS WEST
9,AK,ALEUTIANS WEST (CA),ALEUTIANS WEST
10,AK,ALEUTIANS WEST CENSUS AREA,ALEUTIANS WEST
11,AK,ANCHORAGE,ANCHORAGE
12,AK,ANCHORAGE MUNICIPALITY,ANCHORAGE MUNICIPALITY
13,AK,BARROW COUNTY,BARROW
14,AK,BETHEL,BETHEL
15,AK,BETHEL (CA),BETHEL
16,AK,BETHEL CENSUS AREA,BETHEL
17,AK,BRISTOL BAY ,BRISTOL BAY
18,AK,BRISTOL BAY BOROUGH,BRISTOL BAY
19,AK,COLUMBIA COUNTY,COLUMBIA
20,AK,DEKALB COUNTY,DEKALB
21,AK,DENALI,DENALI
22,AK,DENALI BOROUGH,DENALI
23,AK,DILLINGHAM,DILLINGHAM
24,AK,DILLINGHAM (CA),DILLINGHAM
25,AK,DILLINGHAM CENSUS AREA,DILLINGHAM
26,AK,FAIRBANKS,FAIRBANKS
27,AK,FAIRBANKS NORTH STAR,FAIRBANKS NORTH STAR
28,AK,FAIRBANKS NORTH STAR BOROUGH,FAIRBANKS NORTH STAR
29,AK,FORSYTH,FORSYTH
30,AK,FULTON COUNTY,FULTON
31,AK,GWINNETT COUNTY,GWINNETT
32,AK,HAINES,HAINES
33,AK,HAINES BOROUGH,HAINES
34,AK,HALL COUNTY,HALL
35,AK,HENRY COUNTY,HENRY
36,AK,HOONAH ANGOON,HOONAH ANGOON
37,AK,HOONAH-ANGOON,HOONAH-ANGOON
38,AK,HOONAH-ANGOON CENSUS AREA,HOONAH-ANGOON
39,AK,JACKSON COUNTY,JACKSON
40,AK,JUNEAU,JUNEAU
41,AK,JUNEAU CITY AND ,JUNEAU
42,AK,JUNEAU CITY AND BOROUGH,JUNEAU
43,AK,KENAI PENINSULA,KENAI PENINSULA
44,AK,KENAI PENINSULA BOROUGH,KENAI PENINSULA
45,AK,KETCHIKAN GATEWAY ,KETCHIKAN GATEWAY
46,AK,KETCHIKAN GATEWAY BOROUGH,KETCHIKAN GATEWAY
47,AK,KING COUNTY,KING
48,AK,KODIAK ISLAND,KODIAK ISLAND
49,AK,KODIAK ISLAND BOROUGH,KODIAK ISLAND
50,AK,LAKE AND PENINSULA,LAKE AND PENINSULA
51,AK,LAKE AND PENINSULA BOROUGH,LAKE AND PENINSULA
52,AK,LAURENS,LAURENS
53,AK,MATANUSKA SUSITNA,MATANUSKA SUSITNA
54,AK,MATANUSKA-SUSITNA ,MATANUSKA-SUSITNA
55,AK,MATANUSKA-SUSITNA BOROUGH,MATANUSKA-SUSITNA
56,AK,MATANUSKA-SUSITNA D,MATANUSKA-SUSITNA D
57,AK,NOME,NOME
58,AK,NOME (CA),NOME
59,AK,NOME CENSUS AREA,NOME
60,AK,NORTH SLOPE,NORTH SLOPE
61,AK,NORTH SLOPE BOROUGH,NORTH SLOPE
62,AK,NORTHWEST ARCTIC,NORTHWEST ARCTIC
63,AK,NORTHWEST ARCTIC BOROUGH,NORTHWEST ARCTIC
64,AK,OCONEE COUNTY,OCONEE
65,AK,PETERSBURG,PETERSBURG
66,AK,PETERSBURG CENSUS AREA,PETERSBURG
67,AK,PORTABLE SOURCE,PORTABLE SOURCE
68,AK,PRINCE OF WALES HYDER,PRINCE OF WALES-HYDER
69,AK,PRINCE OF WALES-HYDER,PRINCE OF WALES-HYDER
70,AK,PRINCE OF WALES-HYDER CENSUS AREA,PRINCE OF WALES-HYDER
71,AK,PRINCE OF WALES-OUTER KET,PRINCE OF WALES KETCHIKAN
72,AK,PRINCE OF WALES-OUTER KETCHIKAN(CA),PRINCE OF WALES-OUTER KETCHIKAN
73,AK,PRINCE WALES KETCHIKAN,PRINCE WALES KETCHIKAN
74,AK,"Prince-of-Wales-Hyder,AK",PRINCE OF WALES-HYDER
75,AK,RICHMOND COUNTY,RICHMOND
76,AK,SITKA,SITKA
77,AK,SITKA CITY AND ,SITKA
78,AK,SITKA CITY AND BOROUGH,SITKA
79,AK,SKAGWAY,SKAGWAY
80,AK,SKAGWAY MUNICIPALITY,SKAGWAY MUNICIPALITY
81,AK,SKAGWAY-HOONAH-ANGOON,SKAGWAY-HOONAH-ANGOON
82,AK,SKAGWAY-HOONAH-ANGOON (CA),SKAGWAY-HOONAH-ANGOON
83,AK,SKAGWAY-YAKUTAT-ANGOON,SKAGWAY-YAKUTAT-ANGOON
84,AK,SOUTHEAST FAIRBANKS,SOUTHEAST FAIRBANKS
85,AK,SOUTHEAST FAIRBANKS (CA),SOUTHEAST FAIRBANKS
